episode, step, reward, done, health, vx, vy, vz, px, py, pz
2143, 1463810, 0.0, False, 99.96, 0.0, -0.1899216, 0.0, 20.0, 0.50620157, 5.0
2143, 1463811, -0.0011999999405816197, False, 99.84, 0.07695181, -0.06980896, -1.510284, 19.997782, 0.49034908, 4.9528813
2143, 1463812, -0.0011999999405816197, False, 99.71999, -0.017704308, -0.0005579144, 1.3499335, 20.005798, 0.4900028, 4.9822993
2143, 1463813, -0.0011999999405816197, False, 99.59999, -0.30563587, -4.7683716e-06, 3.690542, 20.044043, 0.49000004, 5.1542573
2143, 1463814, -0.0011999999405816197, False, 99.47999, -0.7698369, 0.0, 5.7771297, 20.126036, 0.49000004, 5.4512844
2143, 1463815, -0.0011999999405816197, False, 99.359985, -0.6656399, 0.0, 7.722743, 20.26073, 0.49000004, 5.8568654
2143, 1463816, -0.0011999999405816197, False, 99.23998, -1.471199, 0.0, 9.381223, 20.447258, 0.49000004, 6.359027
2143, 1463817, -0.0011999999405816197, False, 99.11998, -2.335399, 0.0, 10.804892, 20.693409, 0.49000004, 6.9420304
2143, 1463818, -0.0011999999405816197, False, 98.99998, -2.0590162, 0.0, 12.286865, 21.005428, 0.49000004, 7.5907526
2143, 1463819, -0.0011999999405816197, False, 98.879974, -1.8204803, 0.0, 13.62908, 21.378551, 0.49000004, 8.297999
2143, 1463820, -0.0011999999405816197, False, 98.75997, -1.6130242, 0.0, 14.845359, 21.806568, 0.49000004, 9.058609
2143, 1463821, -0.0011999999405816197, False, 98.63997, -1.4315848, 0.0, 15.947855, 22.283985, 0.49000004, 9.867843
2143, 1463822, -0.0011999999405816197, False, 98.519966, -1.2722359, 0.0, 16.947405, 22.805918, 0.49000004, 10.721353
2143, 1463823, -0.0011999999405816197, False, 98.39996, -2.8927088, 0.0, 17.645039, 23.370108, 0.49000004, 11.613544
2143, 1463824, -0.0011999999405816197, False, 98.27996, -2.5756698, 0.0, 18.489292, 23.981936, 0.49000004, 12.533218
2143, 1463825, -0.0011999999405816197, False, 98.15996, -2.295024, 0.0, 19.25412, 24.638546, 0.49000004, 13.47641
2143, 1463826, -0.0011999999405816197, False, 98.039955, -2.0462046, 0.0, 19.947178, 25.335476, 0.49000004, 14.441143
2143, 1463827, -0.0011999999405816197, False, 97.91995, -1.8253155, 0.0, 20.575325, 26.068726, 0.49000004, 15.425596
2143, 1463828, -0.0011999999405816197, False, 97.79995, -1.6289997, 0.0, 21.144726, 26.834713, 0.49000004, 16.428091
2143, 1463829, -0.0011999999405816197, False, 97.67995, -1.4543676, 0.0, 21.660938, 27.63022, 0.49000004, 17.447084
2143, 1463830, -0.0011999999405816197, False, 97.559944, -1.2988949, 0.0, 22.128967, 28.452358, 0.49000004, 18.481153
2143, 1463831, -0.0011999999405816197, False, 97.43994, -1.1603851, 0.0, 22.553345, 29.298527, 0.49000004, 19.529
2143, 1463832, -0.0011999999405816197, False, 97.31994, 1.267129, 0.0, 22.928421, 30.16436, 0.49000004, 20.591154
2143, 1463833, -0.0011999999405816197, False, 97.199936, 1.1325598, 0.0, 23.278427, 31.038399, 0.49000004, 21.674088
2143, 1463834, -0.0011999999405816197, False, 97.07993, 1.0124874, 0.0, 23.595808, 31.917948, 0.49000004, 22.777344
2143, 1463835, -0.0011999999405816197, False, 96.95993, 3.2975054, 0.0, 23.665613, 32.80038, 0.49000004, 23.900473
2143, 1463836, -0.0011999999405816197, False, 96.83993, 2.9488564, 0.0, 23.94936, 33.6752, 0.49000004, 25.048246
2143, 1463837, -0.0011999999405816197, False, 96.719925, 5.0538206, 0.0, 23.80529, 34.538837, 0.49000004, 26.220797
2143, 1463838, -0.0011999999405816197, False, 96.59992, 6.0245924, 6.1463294, 14.347106, 35.102028, 0.96392393, 26.788343
2143, 1463839, -0.0011999999405816197, False, 96.47992, 4.740946, 3.9140093, 8.635982, 35.555237, 1.2402457, 27.31335
2143, 1463840, -0.0011999999405816197, False, 96.35992, 3.4726796, 2.4230943, 5.009764, 35.838467, 1.4127429, 27.64212
2143, 1463841, -0.0011999999405816197, False, 96.239914, 3.145887, 2.8318412, 5.403138, 36.04362, 1.5750479, 27.951641
2143, 1463842, -0.0011999999405816197, False, 96.11991, 2.8923507, 3.1559434, 5.748356, 36.19732, 1.7583826, 28.301172
2143, 1463843, -0.0011999999405816197, False, 95.99991, 2.1360946, 3.4166017, 6.3247805, 36.299934, 1.9584296, 28.68254
2143, 1463844, -0.0011999999405816197, False, 95.879906, 1.0110478, 3.5770967, 7.060217, 36.366596, 2.1701784, 29.094967
2143, 1463845, -0.0011999999405816197, False, 95.7599, 1.6674818, 3.7357204, 7.41467, 36.42226, 2.3907328, 29.539278
2143, 1463846, -0.0011999999405816197, False, 95.6399, 2.3041854, 3.536656, 8.205856, 36.464005, 2.61395, 30.019772
2143, 1463847, -0.0011999999405816197, False, 95.5199, 2.9513597, 2.6561592, 8.085866, 36.483116, 2.7905478, 30.55315
2143, 1463848, -0.0011999999405816197, False, 95.399895, 1.8956997, 1.857514, 7.573843, 36.50045, 2.9176254, 31.036947
2143, 1463849, -0.0011999999405816197, False, 95.27989, 2.428143, 1.1331112, 6.652405, 36.51618, 2.9997861, 31.475767
2143, 1463850, -0.0011999999405816197, False, 95.15989, 2.8210812, 0.47604954, 5.7707205, 36.53044, 3.0412056, 31.873796
2143, 1463851, -0.0011999999405816197, False, 95.03989, 1.9976819, -0.1199312, 5.473067, 36.543377, 3.0456707, 32.234825
2143, 1463852, -0.0011999999405816197, False, 94.91988, 2.32096, -0.6605091, 4.747688, 36.55511, 3.0166173, 32.56229
2143, 1463853, -0.0011999999405816197, False, 94.79988, 1.6435331, -1.1508346, 4.502802, 36.565754, 2.9571612, 32.859314
2143, 1463854, -0.0011999999405816197, False, 94.67988, 1.9095007, -1.5955789, 3.9060175, 36.575405, 2.8701284, 33.128723
2143, 1463855, -0.0011999999405816197, False, 94.559875, 2.0928402, -1.9989793, 3.3424594, 36.58416, 2.7580826, 33.373093
2143, 1463856, -0.0011999999405816197, False, 94.43987, 2.204794, -2.3648791, 2.8167078, 36.592106, 2.6233494, 33.59474
2143, 1463857, -0.0011999999405816197, False, 94.31987, 1.7218225, -2.6967647, 2.7499087, 36.599308, 2.4680374, 33.795788
2143, 1463858, -0.0011999999405816197, False, 94.19987, 1.8139286, -2.9977977, 2.3173618, 36.605846, 2.2940598, 33.978146
2143, 1463859, -0.0011999999405816197, False, 94.079865, 1.4165782, -3.2708466, 2.262405, 36.611774, 2.1031518, 34.14355
2143, 1463860, -0.0011999999405816197, False, 93.95986, 1.4923556, -3.5185127, 1.9065402, 36.617153, 1.8968871, 34.29358
2143, 1463861, -0.0011999999405816197, False, 93.83986, 1.526972, -3.7431557, 1.5783405, 36.62203, 1.6766932, 34.42966
2143, 1463862, -0.0011999999405816197, False, 93.71986, 1.2277914, -3.9469156, 1.5685487, 36.62645, 1.4438651, 34.553093
2143, 1463863, -0.0011999999405816197, False, 93.59985, 0.9588374, -4.131734, 1.5313501, 36.63046, 1.1995773, 34.665054
2143, 1463864, -0.0011999999405816197, False, 93.47985, 0.719749, -4.2993712, 1.4722946, 36.634098, 0.94489515, 34.766605
2143, 1463865, -0.0011999999405816197, False, 93.35985, 0.5096735, -4.451425, 1.3963537, 36.637398, 0.6807849, 34.858715
2143, 1463866, -0.0011999999405816197, False, 93.239845, 2.8428992e-08, -0.3963852, 1.1582972e-07, 36.639435, 0.49198198, 34.91553
2143, 1463867, -0.0011999999405816197, False, 93.11984, -0.14495304, -0.003170967, 2.2616491, 36.62353, 0.4900159, 35.00217
2143, 1463868, -0.0011999999405816197, False, 92.99984, -0.4962971, -2.3841858e-05, 4.5007114, 36.59474, 0.49000016, 35.227753
